,Subject,# of papers,1950Male (1),1950female1 (1),1950Proportion1 (1),1950Male (2),1950female (2),1950Proportion (2),1950Male (3),1950female (3),1950Proportion (3),,,,,,
24,HEAL,602,347,69,16.59,881,252,14.57,440,157,26.3,,,,,,
25,PSYC,617,362,89,19.73,527,378,24.9,307,306,49.92,1 less female,,,,,
26,undefined,112,79,20,20.2,134,43,14.98,84,26,23.64,,,,,,
27,NEUR,290,124,25,16.78,373,106,13.84,219,68,23.69,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Subject,1st Authorship,Middle Authorship,Last Authorship,# of papers,,,,,,,,,,,,
,Arts,20.94,24.65,51.17,31259,,,,,,,,,,,,
,Sociology,17.9,24.35,51.02,14139,,,,,Immunology,Medicine,DENT,MATH,Engineering,BIOC,ARTS,Computer Science
,Psychology,19.73,24.9,49.92,2378,,,,,,,,,,,,
,Nursing,18.5,19.37,36.94,39815,,,,,,,,,,,,
,Economics,19.23,16.67,30.83,388,,,,,,,,,,,,
,Medicine,18.34,15.46,27.41,6682,,,,,,,,,,,,
,Health,16.59,14.57,26.3,14961,,,,,,Subject,1st Authorship,Middle Authorship,Last Authorship,,,
,Business,20.1,14.4,24.94,13760,,Discipline,Female Proportion (%),,,Agriculture,18.16,11.85,16.24,,,
,Neurology,16.78,13.84,23.69,1844,,ARTS,51.17,,,Chemistry,17.54,11.44,15.7,,,
,undefined,20.2,14.98,23.64,25264,,SOCI,51.02,,,Medicine,18.34,15.46,27.41,,,
,Pharmacy,18.29,14.52,22.17,898,,ECON,30.83,,,Engineering,18.13,10.16,13.96,,,
,Decision Sciences,15.66,13.03,21.91,7293,,NURS,36.94,,,Computer Science,18.62,9.89,13.71,,,
,Immunology,17.29,13.28,21.9,4290,,PSYC,49.92,,,,,,,,,
,Dentistry,22.41,13.09,20.68,4791,,,,,,,,,,,,
,Math,17.95,12.55,20.68,3787,,,,,,,,,,,,
,Biochemistry,18.47,12.91,19.61,6975,,,,,,,,,,,,
,Environment,17.3,13.17,19.46,4211,,,,,,,,,,,,
,Earth,18.15,11.98,19.33,4745,,,,,,,,,,,,
,Multidisciplinary,18.22,12.14,18.9,4829,,,,,,,,,,,,
,Physics,19.67,10.75,16.29,3664,,,,,,,,,,,,
,Agriculture,18.16,11.85,16.24,3916,,,,,,,,,,,,
,Chemistry,17.54,11.44,15.7,1679,,,,,,,,,,,,
,Chemical Engineering,18.81,11.1,15.12,653,,,,,,,,,,,,
,Energy,18.3,10.13,14.09,1426,,,,,,,,,,,,
,Engineering,18.13,10.16,13.96,602,,,,,,,,,,,,
,Computer Science,18.62,9.89,13.71,617,,,,,,,,,,,,
,Veternary,17.63,10.83,12.54,112,,,,,,,,,,,,
,Materials Science,18.52,9.86,11.24,290,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Subject,# of papers,,,,,,,,,,,,,,,
,Medicine,39815,,,,,,,,,,,,,,,
,Agriculture,31259,,,,,,,,,,,,,,,
,Computer Science,25264,,,,,,,,,,,,,,,
,Engineering,14961,,,,,,,,,,,,,,,
,Chemistry,14139,,,,,,,,,,,,,,,
,Biochemistry,13760,,,,,,,,,,,,,,,
,Physics,7293,,,,,,,,,,,,,,,
,Chemical Engineering,6975,,,,,,,,,,,,,,,
,Math,6682,,,,,,,,,,,,,,,
,Business,4829,,,,,,,,,,,,,,,
,Pharmacy,4791,,,,,,,,,,,,,,,
,Environment,4745,,,,,,,,,,,,,,,
,Energy,4290,,,,,,,,,,,,,,,
,Earth,4211,,,,,,,,,,,,,,,
,Multidisciplinary,3916,,,,,,,,,,,,,,,
,Materials Science,3787,,,,,,,,,,,,,,,
,Sociology,3664,,,,,,,,,,,,,,,
,Immunology,2378,,,,,,,,,,,,,,,
,Arts,1844,,,,,,,,,,,,,,,
,Economics,1679,,,,,,,,,,,,,,,
,Nursing,1426,,,,,,,,,,,,,,,
,Veternary,898,,,,,,,,,,,,,,,
,Decision Sciences,653,,,,,,,,,,,,,,,
,Psychology,617,,,,,,,,,,,,,,,
,Health,602,,,,,,,,,,,,,,,
,Dentistry,388,,,,,,,,,,,,,,,
,Neurology,290,,,,,,,,,,,,,,,
,undefined,112,,,,,,,,,,,,,,,
